COULIBALY, MARIAM ALOU	LR	30	772.54	
COUSSEINS SMITH, JOYCE MEGANE	LR	30	769.34	
DELAERE, ANTONIA LAURA	LR	29	786.49
ERAUNCETAMURGIL AYESTARAN, MARIA	LR	30	622.15
ESNAL AGUIRRE, ANE	LR	5	10.52
GARCIA SALINERO, LAURA	LR	30	769.41
GLADKOVA, IULLIA	LR	14	279.40	
GONZALEZ DUARTE , LARA	LR	29	534.34
HITTNER, REBECCA MARIE	LR	7	61.14
SARR, OUMOUL KHAIRY	LR	30	718.14	
TIRERA, MEIYA	LR	30	724.13	
ARROJO JIMENEZ, MARIA BELEN	LR	30	677.28
BJORKLUND, ANGELA DEANNE	LR	29	787.09
BUCH ROSELL, ROSO	LR	26	668.14	
CORNELIUS, LAURA	LR	29	601.52	
DIEZ FERNANDEZ, NAIARA	LR	15	87.29	
GINZO ARANTES, PAULA	LR	30	502.16
GOMES COLHADO, NADIA	LR	28	438.31
IVANOVIC, MILICA	LR	30	477.53
LO SYLLA, NOGAYE	LR	29	612.53
ROUNDTREE, MARGARET YVETTE	LR	28	640.02
ALONSO DE ARMIÑO RIAÑO, GRACIA	LR	29	509.57
BURANI, AGOSTINA PAOLA	LR	28	568.25
CARTER, ARICA DERRIS	LR	30	802.06	
DE SANTIAGO OTERO, BEGOÑA	LR	15	80.18
ESPIN DE SANCHO, MARIA	LR	30	344.19
GOMES DA SILVA, SOFIA CAROLINA	LR	29	519.52
GRANDE PARDO, CARMEN	LR	30	321.58
GRETTER, MELISA PAOLA	LR	30	929.22
KNIGHT, LESLIE FAYE	LR	24	593.45
MATO DE PRADA, CRISTINA	LR	7	39.18	
NYINGIFA, ATONYE JENNIFER	LR	29	771.22
RAMAN, JANA GEORGES R	LR	26	544.18
ABALDE DIAZ, TAMARA	LR	27	741.16	
ASURMENDI VILLAVERDE, MARIA DEL CARMEN	LR	30	793.11
BEDIA DELGADO, IZAR	LR	2	03.45
BEREZHYNSKA, VALERIYA	LR	15	239.52
BROWN , JOY ALEXIS	LR	30	781.16
CRUZ LEBRATO, ANNA	LR	14	307.45
GARCIA URLEZAGA, IZASKUN	LR	30	695.56
MOLINUEVO GARCIA, CRISTINA	LR	20	81.33
PARDO HERVIAS, LAURA	LR	30	319.00
PEREZ TORRES, TANIA	LR	22	352.00
UEVEDO CAÑIZARES, LAURA	LR	30	873.32
SEDA, TAMARA ADELAIDE JOSE CAMACHO	LR	30	835.54
BEREZHYNSKA, VALERIYA	LR	13	326.31
FAUSSURIER ZAFRILLA, ANA CARLOTA	LR	27	455.38
GIDDEN, VANESSA NICOLE	LR	12	386.32
LIZARAZU HERRERA, MARINA	LR	24	759.48
MONTOLIU MATIAS, MARTA	LR	27	831.11
OKONKWO, AMY NNENNA	LR	19	510.08
PERISA, KLAUDIA	LR	10	147.59
PINTO MARTIN, LUCIA	LR	3	47.17
POLICARI, ELISA	LR	16	253.07
PREZELJ, ANNAMARIA	LR	16	483.18
QUIRANTE MARTINEZ, ALEJANDRA	LR	12	313.46
RODRIGUEZ TORRELIO, ROMINA ISABEL	LR	3	17.12
SAGERER, HELGA SARAH	LR	4	42.12
SAHAGUN BERNAL, ESTEFANIA	LR	1	01.20
SALAS, BROOKE WYLIE	LR	18	395.24
VIVIANS, VICTORIA VALENCIA	LR	10	360.50
WOLF, ABIGAIL	LR	30	667.47	
BAHI BLANQUERA, GEORGINA	LR	28	624.28
DIAZ CASTELLANO, YURENA	LR	21	404.12
ETXARRI MUNARRIZ, IRATI	LR	30	746.58
GELDOF, SERENA LYNN PETRA	LR	30	449.33
JESPERSEN, MARIA STEEN	LR	11	180.26
MESTRES RICART, GALA	LR	30	477.55
ORTIZ, GABRIELLE RAE	LR	6	42.14
PEÑA JUBANY, LAURA	LR	30	702.52
PUJOL LLUCH, ARIADNA	LR	27	569.40
RAVENTOS ROIG, LAIA	LR	30	541.42
RESIMONT, LAURE DANIELA	LR	20	388.58
URBANIAK -DORNSTAUDER, QUINN ASIA	LR	29	698.55
WILLIAMS, DANNI	LR	9	172.07
ALARCON OTERO, TXELL	LR	25	388.58
BARNEDA SANTOS, MARIA	LR	29	526.56
CALVO DIAZ, ANA BEGOÑA	LR	6	55.45
CASAS MARTINEZ, LIDIA	LR	1	00.03
CONDE DURAN, ITSASO	LR	13	231.56
DIARRA, MAIMOUNA	LR	30	829.46
ESTEBAS ARMAS, PAULA	LR	30	791.53
FLORES COSTA, LAIA	LR	30	1011.06
KNEZEVIC, ADRIJANA	LR	29	508.46
KOVACEVIC, BOJANA	LR	26	665.03
LOZANO DAVILA, ALBA	LR	9	12.37
NOGIC, JOVANA	LR	9	216.18
PARDO CAMPILLO, EVA	LR	1	00.41
PIVEC, MIKAYLA DENALI	LR	16	246.24
REQUEJO GARCÍA, CRISTINA	LR	1	01.27
THORNTON, KOBI BRECHELLE	LR	2	13.14
TUHINA, ASTERA	LR	7	16.53
WEAVER, LYNDRA SHAJUAN	LR	19	532.13
ZABALA VILLAR, CARLA	LR	1	00.01
BROTONS PASCUAL, MONTSERRAT	LR	26	317.16
CAMARA, BATOULY FATOUMATA	LR	30	649.08
GIVENS, DE´ANDREA LENAE	LR	10	239.22
GLADKOVA, IULLIA	LR	14	361.24
HIGGS, LASHANN AISHA	LR	30	825.26
KALIN, MARIANNE FANNY	LR	29	540.05
